fog_id,time,required_rate,required_sinr,x,y
1,1,77,17,903.8679719062931,543.7646892723627
1,1,15,13,630.4639496906103,744.4031147672193
1,1,87,13,856.7571166011038,596.9179612114094
1,1,73,15,594.6242414180015,694.01151232603
1,1,89,12,873.1378518487692,280.8500374188696
1,11,44,11,704.3365864550315,713.9021775116721
1,11,13,11,986.1528584208107,444.5194067424163
1,11,24,14,716.3352797879138,704.8889929760713
1,11,17,11,828.3961681587273,631.4487020424567
1,11,79,20,690.1264233776076,833.1042141940355
1,11,27,11,429.1551511919823,774.4226571107283
1,11,62,10,520.8898066622671,754.3846793020608
1,11,43,16,612.6899612022734,705.1027598304843
1,11,56,14,923.5801909240778,366.04249370153985
1,11,77,10,845.710495472059,452.48301105424764
1,11,72,17,645.113457650732,731.4799705222249
1,11,28,18,917.6812712001264,514.7207916849293
1,11,82,17,870.0446599571558,587.4074583432638
1,11,39,14,414.9881895138533,794.3152778347023
1,11,37,11,780.4940737126742,649.7072982219979
1,11,87,13,956.1177054312427,474.89652387555685
1,11,89,16,799.7805748119138,660.7502888426185
1,11,97,20,706.7087968867854,706.4664682818111
1,11,88,18,594.4911263104586,694.1345531944187
1,11,17,14,531.9497861457523,755.7543163605965
1,11,43,20,381.11723385055086,779.8717577619943
1,11,92,20,471.4508182199497,761.8734609258827
1,11,40,16,385.965481745766,777.5586521342398
1,11,94,14,870.9423972908959,283.66852320233164
1,11,95,13,519.0227533874727,646.8690334067428
1,11,42,16,464.46612405248453,764.2378278375603
1,11,26,20,702.1177589096055,719.3719090399841
1,21,68,15,687.3237587033539,726.945674655307
1,21,14,10,706.6830520324759,712.5181344487239
1,21,37,10,824.9856787408585,633.8270887256599
1,21,59,12,749.7888970646045,921.8053136208516
1,21,77,16,429.2425368583645,773.4244083617813
1,21,67,10,976.1270555622992,463.62277154903865
1,21,80,19,560.4158076841152,749.7173972731923
1,21,90,15,612.8745497172347,704.8855795766227
1,21,37,15,891.8411227559324,441.1002654417417
1,21,91,19,759.6847579115207,516.9872286726551
1,21,84,19,707.9512389249719,710.3489992984688
1,21,42,17,919.5767895737248,512.2242820706174
1,21,73,11,860.7418670220417,599.0124610118568
1,21,83,15,425.5706923564895,790.2136160194873
1,21,38,14,773.8563903353643,658.0203422626946
1,21,65,16,792.5350478502107,665.1559872743674
1,21,100,17,799.2074939947634,652.985727048479
1,21,16,19,594.0498900859168,694.3654862313997
1,21,11,16,576.2287719795829,745.4276697626336
1,21,82,17,381.3011808522394,778.9613594433293
1,21,30,12,962.6817714454722,471.49411762980736
1,21,24,14,480.5313644207199,759.1921445312911
1,21,69,18,388.1189315465512,776.1217614970169
1,21,68,14,868.5895485662912,285.26332283547765
1,21,62,12,581.67431903322,674.2149191692006
1,21,17,18,744.7956938037298,924.5557113645598
1,21,49,16,472.2563935242244,763.0858420438133
1,21,26,17,699.275137770793,721.5248908588197
1,31,82,19,671.6260308575003,773.3402524931822
1,31,25,16,700.8447362921722,717.8873805695214
1,31,95,13,938.5631508146181,502.35355813847855
1,31,76,16,815.0143490392015,642.2679103557019
1,31,74,20,442.91386294017263,772.8050726936199
1,31,35,11,919.7030492128223,534.0776505872607
1,31,41,14,612.4972892753024,737.4076051565352
1,31,81,15,613.1997658147825,704.8163357841784
1,31,57,16,831.7463925972223,521.2573387872599
1,31,80,14,654.149996205623,538.3082479405217
1,31,12,12,733.527630643174,885.9472607544623
1,31,74,17,792.2461603747563,663.8395614809358
1,31,92,15,921.472307947323,509.7277724563056
1,31,67,15,852.9677743014065,607.8005151061341
1,31,55,13,442.49343384524,783.871930193664
1,31,56,15,766.054128619493,670.2778145924676
1,31,27,18,777.1142869228763,674.0437375650403
1,31,95,18,881.0001778372971,574.0485157673247
1,31,19,10,594.0189303287135,694.4387973691338
1,31,84,14,638.107145522989,729.0120618356392
1,31,44,12,387.30371687644237,778.5864093014387
1,31,67,20,910.9422868956927,536.0798021635972
1,31,21,11,522.1885369669471,756.1249361014925
1,31,27,10,398.0071604525438,776.0381535627879
1,31,69,17,865.6071231747627,281.96337786735967
1,31,73,12,608.3663620851003,697.5420497541783
1,31,51,10,732.7898434511789,909.6276892515068
1,31,88,14,510.9505222304492,758.6360000644811
1,31,16,12,730.0938606189155,900.3403305928223
1,31,41,16,688.7069801340809,730.7577910331079
1,41,13,14,714.1232485129149,855.1990599072539
1,41,97,17,697.0057023427098,719.4381622710731
1,41,31,19,893.4738327643428,558.925523116719
1,41,69,12,803.8276921137161,651.833357330073
1,41,14,13,489.5052827985608,766.5755073260515
1,41,27,16,885.953654641041,575.1262243650854
1,41,49,20,667.7196642678173,721.4251236512791
1,41,40,12,613.4515068428765,705.1245486738161
1,41,70,17,757.1144578741748,578.1833361278289
1,41,95,18,531.7364494295325,518.2381275790743
1,41,17,13,697.3007674003369,830.6358059503137
1,41,31,14,857.7534047409192,595.7347726614215
1,41,48,13,946.3052696300416,478.1089054550789
1,41,31,11,836.6881525210222,624.9948765118606
1,41,81,16,482.8971423050622,773.8134106448385
1,41,15,18,763.1304616666748,675.8441500542685
1,41,77,11,768.1197548997937,680.0249251631087
1,41,65,19,950.6794484408164,490.2816493883729
1,41,86,19,594.2699995370931,694.0477512357754
1,41,88,12,713.2447085384165,700.8696501214987
1,41,66,12,417.8212897250371,775.7930597250349
1,41,81,11,874.0589183230419,580.4797950300388
1,41,47,13,585.4139707957511,748.331617888296
1,41,25,13,428.9098396926768,772.6070781751537
1,41,33,18,861.4293571835096,278.2704536430114
1,41,55,11,650.1413022648776,714.0920032521243
1,41,82,13,731.3659909552255,908.0215023508296
1,41,16,19,575.247057284764,747.1871358574367
1,41,43,10,694.6360111818431,837.3526612433487
1,41,44,14,670.6974757595453,773.4478280430193
1,51,87,11,693.0203302652402,720.6798429768999
1,51,88,13,873.8975756597066,584.0832662906032
1,51,60,11,797.5931577831333,657.0225012745708
1,51,37,12,953.4691062061817,492.69656572863454
1,51,49,12,565.2210815453436,752.525288312789
1,51,45,14,863.1222531622858,599.4801129680126
1,51,41,14,722.4394477592839,700.3598961626645
1,51,78,17,612.8426732181223,705.6506057465448
1,51,70,10,662.2635968016227,593.6791981069373
1,51,91,16,391.2907883911685,501.8796277845278
1,51,47,10,675.5517385564162,799.1204772612081
1,51,97,14,918.7096582914412,519.6332301125861
1,51,49,17,973.6868361248844,443.2542209664172
1,51,21,17,694.7122261278564,913.1904428823036
1,51,25,14,827.3544182957382,634.0509911481756
